Game,Winner,Moves,FinalScore
353,W,59,"FinalCount => B:12, W:13"
354,W,79,"FinalCount => B:11, W:14"
355,W,90,"FinalCount => B:8, W:17"
356,W,41,"FinalCount => B:12, W:13"
357,W,83,"FinalCount => B:11, W:14"
358,W,65,"FinalCount => B:9, W:16"
359,B,77,"FinalCount => B:13, W:12"
360,B,84,"FinalCount => B:13, W:12"
361,W,61,"FinalCount => B:12, W:13"
362,W,76,"FinalCount => B:12, W:13"
363,W,76,"FinalCount => B:9, W:16"
364,W,82,"FinalCount => B:9, W:16"
365,W,79,"FinalCount => B:10, W:15"
366,W,70,"FinalCount => B:9, W:16"
367,W,70,"FinalCount => B:11, W:14"
368,W,96,"FinalCount => B:10, W:15"
369,W,80,"FinalCount => B:8, W:17"
370,W,63,"FinalCount => B:10, W:15"
371,W,76,"FinalCount => B:8, W:17"
372,B,49,"FinalCount => B:14, W:11"
373,W,79,"FinalCount => B:10, W:15"
374,W,82,"FinalCount => B:8, W:17"
375,W,72,"FinalCount => B:10, W:15"
376,W,85,"FinalCount => B:9, W:16"
377,W,67,"FinalCount => B:9, W:16"
378,B,84,"FinalCount => B:13, W:12"
379,W,78,"FinalCount => B:10, W:15"
380,W,70,"FinalCount => B:10, W:15"
381,W,78,"FinalCount => B:11, W:14"
382,W,59,"FinalCount => B:11, W:14"
383,W,80,"FinalCount => B:9, W:16"
384,B,77,"FinalCount => B:13, W:12"
385,W,76,"FinalCount => B:10, W:15"
386,W,72,"FinalCount => B:11, W:14"
387,W,67,"FinalCount => B:11, W:14"
388,W,83,"FinalCount => B:8, W:17"
389,B,108,"FinalCount => B:13, W:12"
390,W,96,"FinalCount => B:10, W:15"
391,B,79,"FinalCount => B:13, W:12"
392,B,91,"FinalCount => B:13, W:12"
393,W,76,"FinalCount => B:11, W:14"
394,B,80,"FinalCount => B:15, W:10"
395,W,96,"FinalCount => B:11, W:14"
396,W,80,"FinalCount => B:10, W:15"
397,W,80,"FinalCount => B:10, W:15"
398,W,54,"FinalCount => B:12, W:13"
399,W,73,"FinalCount => B:9, W:16"
400,W,80,"FinalCount => B:10, W:15"
401,W,80,"FinalCount => B:10, W:15"
402,W,82,"FinalCount => B:7, W:18"
403,W,73,"FinalCount => B:11, W:14"
404,B,80,"FinalCount => B:15, W:10"
405,W,89,"FinalCount => B:10, W:15"
406,B,108,"FinalCount => B:13, W:12"
407,W,68,"FinalCount => B:11, W:14"
408,W,110,"FinalCount => B:10, W:15"
409,W,62,"FinalCount => B:11, W:14"
410,W,91,"FinalCount => B:12, W:13"
411,W,67,"FinalCount => B:12, W:13"
412,W,46,"FinalCount => B:11, W:14"
413,W,76,"FinalCount => B:10, W:15"
414,B,84,"FinalCount => B:13, W:12"
415,W,59,"FinalCount => B:11, W:14"
416,W,81,"FinalCount => B:10, W:15"
417,W,73,"FinalCount => B:10, W:15"
418,W,63,"FinalCount => B:10, W:15"
419,W,80,"FinalCount => B:11, W:14"
420,B,80,"FinalCount => B:15, W:10"
421,W,80,"FinalCount => B:9, W:16"
422,W,83,"FinalCount => B:9, W:16"
423,W,111,"FinalCount => B:9, W:16"
424,B,80,"FinalCount => B:15, W:10"
425,B,80,"FinalCount => B:15, W:10"
426,W,94,"FinalCount => B:8, W:17"
427,W,83,"FinalCount => B:11, W:14"
428,W,96,"FinalCount => B:10, W:15"
429,B,75,"FinalCount => B:13, W:12"
430,W,95,"FinalCount => B:12, W:13"
431,W,80,"FinalCount => B:8, W:17"
432,W,96,"FinalCount => B:10, W:15"
433,W,71,"FinalCount => B:11, W:14"
434,B,64,"FinalCount => B:13, W:12"
435,B,79,"FinalCount => B:13, W:12"
436,W,105,"FinalCount => B:8, W:17"
437,W,67,"FinalCount => B:10, W:15"
438,W,96,"FinalCount => B:10, W:15"
439,W,110,"FinalCount => B:10, W:15"
440,W,89,"FinalCount => B:9, W:16"
441,W,78,"FinalCount => B:11, W:14"
442,W,78,"FinalCount => B:10, W:15"
443,B,91,"FinalCount => B:13, W:12"
444,W,87,"FinalCount => B:9, W:16"
445,W,80,"FinalCount => B:8, W:17"
446,W,85,"FinalCount => B:11, W:14"
447,W,91,"FinalCount => B:10, W:15"
448,W,62,"FinalCount => B:10, W:15"
449,W,83,"FinalCount => B:8, W:17"
450,W,41,"FinalCount => B:12, W:13"
451,W,74,"FinalCount => B:9, W:16"
452,B,79,"FinalCount => B:13, W:12"
453,W,71,"FinalCount => B:12, W:13"
454,W,80,"FinalCount => B:9, W:16"
455,W,41,"FinalCount => B:12, W:13"
456,W,41,"FinalCount => B:12, W:13"
457,B,117,"FinalCount => B:16, W:9"
458,W,80,"FinalCount => B:9, W:16"
459,W,61,"FinalCount => B:12, W:13"
460,W,96,"FinalCount => B:10, W:15"
461,W,77,"FinalCount => B:11, W:14"
462,B,79,"FinalCount => B:13, W:12"
463,W,101,"FinalCount => B:10, W:15"
464,W,77,"FinalCount => B:9, W:16"
465,W,74,"FinalCount => B:9, W:16"
