Game,Winner,Moves,FinalScore
408,B,71,"FinalCount => B:13, W:12"
409,B,68,"FinalCount => B:13, W:12"
410,W,62,"FinalCount => B:11, W:14"
411,W,66,"FinalCount => B:12, W:13"
412,B,63,"FinalCount => B:13, W:12"
413,W,62,"FinalCount => B:11, W:14"
414,B,55,"FinalCount => B:14, W:11"
415,W,66,"FinalCount => B:12, W:13"
416,W,87,"FinalCount => B:12, W:13"
417,B,63,"FinalCount => B:14, W:11"
418,B,71,"FinalCount => B:13, W:12"
419,W,62,"FinalCount => B:12, W:13"
420,B,55,"FinalCount => B:14, W:11"
421,B,63,"FinalCount => B:14, W:11"
422,W,62,"FinalCount => B:11, W:14"
423,W,66,"FinalCount => B:12, W:13"
424,B,61,"FinalCount => B:14, W:11"
425,W,62,"FinalCount => B:11, W:14"
426,B,55,"FinalCount => B:14, W:11"
427,W,63,"FinalCount => B:12, W:13"
428,B,61,"FinalCount => B:14, W:11"
429,B,71,"FinalCount => B:13, W:12"
430,W,62,"FinalCount => B:11, W:14"
431,B,55,"FinalCount => B:14, W:11"
432,W,62,"FinalCount => B:12, W:13"
433,W,66,"FinalCount => B:12, W:13"
434,W,62,"FinalCount => B:11, W:14"
435,B,61,"FinalCount => B:14, W:11"
436,W,62,"FinalCount => B:11, W:14"
437,W,66,"FinalCount => B:12, W:13"
438,B,68,"FinalCount => B:13, W:12"
439,W,66,"FinalCount => B:12, W:13"
440,B,55,"FinalCount => B:14, W:11"
441,W,62,"FinalCount => B:11, W:14"
442,B,63,"FinalCount => B:14, W:11"
443,W,63,"FinalCount => B:12, W:13"
444,B,63,"FinalCount => B:13, W:12"
445,W,66,"FinalCount => B:12, W:13"
446,B,63,"FinalCount => B:14, W:11"
447,W,66,"FinalCount => B:12, W:13"
448,W,66,"FinalCount => B:12, W:13"
449,W,66,"FinalCount => B:12, W:13"
450,B,61,"FinalCount => B:15, W:10"
451,W,62,"FinalCount => B:11, W:14"
452,B,63,"FinalCount => B:14, W:11"
453,B,61,"FinalCount => B:15, W:10"
454,W,62,"FinalCount => B:11, W:14"
455,B,62,"FinalCount => B:13, W:12"
456,B,61,"FinalCount => B:14, W:11"
457,W,66,"FinalCount => B:12, W:13"
458,W,62,"FinalCount => B:11, W:14"
459,W,66,"FinalCount => B:12, W:13"
460,W,62,"FinalCount => B:12, W:13"
461,B,68,"FinalCount => B:13, W:12"
462,W,62,"FinalCount => B:11, W:14"
463,B,68,"FinalCount => B:13, W:12"
464,W,62,"FinalCount => B:11, W:14"
465,B,61,"FinalCount => B:14, W:11"
466,B,55,"FinalCount => B:14, W:11"
467,W,62,"FinalCount => B:11, W:14"
468,B,61,"FinalCount => B:14, W:11"
469,W,62,"FinalCount => B:11, W:14"
470,W,62,"FinalCount => B:11, W:14"
471,W,63,"FinalCount => B:12, W:13"
472,W,63,"FinalCount => B:12, W:13"
473,W,87,"FinalCount => B:12, W:13"
474,B,63,"FinalCount => B:13, W:12"
475,B,68,"FinalCount => B:13, W:12"
476,B,68,"FinalCount => B:13, W:12"
477,B,63,"FinalCount => B:14, W:11"
478,W,62,"FinalCount => B:11, W:14"
479,W,62,"FinalCount => B:11, W:14"
480,B,61,"FinalCount => B:14, W:11"
481,B,71,"FinalCount => B:13, W:12"
482,W,63,"FinalCount => B:12, W:13"
483,W,62,"FinalCount => B:10, W:15"
484,B,61,"FinalCount => B:15, W:10"
485,B,62,"FinalCount => B:13, W:12"
486,B,61,"FinalCount => B:14, W:11"
487,B,68,"FinalCount => B:13, W:12"
488,W,62,"FinalCount => B:11, W:14"
489,W,66,"FinalCount => B:12, W:13"
490,W,66,"FinalCount => B:12, W:13"
491,B,62,"FinalCount => B:13, W:12"
492,W,63,"FinalCount => B:12, W:13"
493,W,62,"FinalCount => B:11, W:14"
494,B,63,"FinalCount => B:14, W:11"
495,W,66,"FinalCount => B:12, W:13"
496,W,62,"FinalCount => B:11, W:14"
497,B,61,"FinalCount => B:15, W:10"
498,B,71,"FinalCount => B:13, W:12"
499,B,61,"FinalCount => B:14, W:11"
500,B,55,"FinalCount => B:14, W:11"
